tanggal,pm10,so2,co,o3,no2,categori
2021-08-01,60.60092163085938,49.35872268676758,22.272119522094727,83.0211410522461,22.96145820617676,TIDAK SEHAT
2021-08-02,58.36102676391602,48.76623153686523,24.21072006225586,98.38867950439452,19.51558494567871,TIDAK SEHAT
2021-08-03,56.26974868774414,48.21881866455078,25.09041404724121,111.4933624267578,17.56186866760254,TIDAK SEHAT
2021-08-04,54.31722259521485,47.71304702758789,25.48959732055664,122.66837310791016,16.456809997558597,TIDAK SEHAT
2021-08-05,52.49425888061523,47.24576187133789,25.67074012756348,132.1978759765625,15.831768035888672,TIDAK SEHAT
2021-08-06,50.7922477722168,46.81402587890625,25.752939224243164,140.32415771484378,15.478233337402346,TIDAK SEHAT
2021-08-07,49.20317459106445,46.4151382446289,25.790241241455078,147.25384521484375,15.27826690673828,TIDAK SEHAT
2021-08-08,47.71953964233398,46.04659652709961,25.807165145874023,153.16314697265625,15.165163040161133,SANGAT TIDAK SEHAT
2021-08-09,46.33433532714844,45.706092834472656,25.81484413146973,158.20230102539062,15.101189613342285,SANGAT TIDAK SEHAT
2021-08-10,45.04104614257813,45.39149856567383,25.818328857421875,162.49945068359375,15.0650053024292,SANGAT TIDAK SEHAT
2021-08-11,43.83356857299805,45.10083389282226,25.81991577148437,166.16384887695312,15.044537544250488,SANGAT TIDAK SEHAT
2021-08-12,42.70621109008789,44.83229064941406,25.82063102722168,169.28866577148438,15.032960891723633,SANGAT TIDAK SEHAT
2021-08-13,41.65365219116211,44.584171295166016,25.820955276489254,171.95335388183594,15.026411056518555,SANGAT TIDAK SEHAT
2021-08-14,40.67094039916992,44.35493469238281,25.821102142333984,174.2256622314453,15.022708892822266,SANGAT TIDAK SEHAT
2021-08-15,39.7534294128418,44.14313125610352,25.8211669921875,176.16339111328125,15.020614624023438,SANGAT TIDAK SEHAT
2021-08-16,38.89679336547852,43.94744873046875,25.82120132446289,177.8157958984375,15.019428253173828,SANGAT TIDAK SEHAT
2021-08-17,38.09699630737305,43.76664733886719,25.82121467590332,179.22488403320312,15.018758773803713,SANGAT TIDAK SEHAT
2021-08-18,37.35026550292969,43.5995979309082,25.82122039794922,180.42648315429688,15.018380165100098,SANGAT TIDAK SEHAT
2021-08-19,36.65309143066406,43.44526290893555,25.82122230529785,181.4511260986328,15.018166542053224,SANGAT TIDAK SEHAT
2021-08-20,36.002166748046875,43.30266952514648,25.821224212646484,182.3249053955078,15.018045425415039,SANGAT TIDAK SEHAT
2021-08-21,35.39443588256836,43.1709213256836,25.82122611999512,183.0700225830078,15.01797580718994,SANGAT TIDAK SEHAT
2021-08-22,34.8270263671875,43.04919815063477,25.82122611999512,183.70541381835938,15.017937660217285,SANGAT TIDAK SEHAT
2021-08-23,34.29726791381836,42.936744689941406,25.82122611999512,184.2472381591797,15.017916679382324,SANGAT TIDAK SEHAT
2021-08-24,33.80265426635742,42.83283996582031,25.82122611999512,184.70928955078125,15.017904281616213,SANGAT TIDAK SEHAT
2021-08-25,33.34086227416992,42.73684310913086,25.82122611999512,185.1032867431641,15.017897605895994,SANGAT TIDAK SEHAT
2021-08-26,32.90970993041992,42.64814376831055,25.82122611999512,185.43930053710938,15.01789093017578,SANGAT TIDAK SEHAT
2021-08-27,32.507164001464844,42.56619262695313,25.82122611999512,185.72581481933597,15.017889022827148,SANGAT TIDAK SEHAT
2021-08-28,32.13132858276367,42.490482330322266,25.82122611999512,185.9701385498047,15.017888069152832,SANGAT TIDAK SEHAT
2021-08-29,31.78042984008789,42.42052841186523,25.82122611999512,186.17849731445312,15.017887115478516,SANGAT TIDAK SEHAT
2021-08-30,31.452816009521484,42.35589599609375,25.82122611999512,186.35617065429688,15.017887115478516,SANGAT TIDAK SEHAT
2021-08-31,31.14694023132324,42.29618453979492,25.82122611999512,186.50765991210938,15.017887115478516,SANGAT TIDAK SEHAT
